Date,Canal,Category,Subcategory1,Marca,Modelo,SKU,UPC,Item,Item Characteristics,URL SKU,Image,Price,Sale Price,Shipment Cost,SaleFlag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price,productId
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,029700151003,029700151003,PURE DE PAPA VERDE VALLE 160 G,PURE DE PAPA VERDE VALLE 160 G,https://tienda.elflorido.com.mx/productos/672,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/029700151003_1.PNG,21.9,,,,,,,171.0,,21.9,672
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,745819000925,745819000925,SABRO SOYA NATURAL 300 G,SABRO SOYA NATURAL 300 G,https://tienda.elflorido.com.mx/productos/6487,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products/745819000925.jpg,19.9,,,,,,,156.0,,19.9,6487
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,7501071301612,7501071301612,PURÉ DE PAPA VERDE VALLE 2 KG,PURÉ DE PAPA VERDE VALLE 2 KG,https://tienda.elflorido.com.mx/productos/8513,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501071301612_1.PNG,169.9,,,,,,,1.0,,169.9,8513
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,7501023502357,7501023502357,FRIJOLES REFRITOS MAYOCOBA POUCH CHATA 430 G,FRIJOLES REFRITOS MAYOCOBA POUCH CHATA 430 G,https://tienda.elflorido.com.mx/productos/12412,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501023502357_1.jpg,9.9,,,,,,,764.0,,9.9,12412
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,029700001148,029700001148,PURE DE PAPA IDAHOAN 390 G,PURE DE PAPA IDAHOAN 390 G,https://tienda.elflorido.com.mx/productos/11733,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/029700001148_1.jpeg,39.9,,,,,,,237.0,,39.9,11733
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,7501071300608,7501071300608,PURE DE PAPA CHEEDAR VERDE VALLE 80 G,PURE DE PAPA CHEEDAR VERDE VALLE 80 G,https://tienda.elflorido.com.mx/productos/9506,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501071300608_1.PNG,18.9,,,,,,,42.0,,18.9,9506
17/11/2022,,ABARROTES COMESTIBLES,PRODUCTOS SECOS,,,7501071300592,7501071300592,PURE DE PAPA VERDE VALLE MANTEQUILLA 80 G,PURE DE PAPA VERDE VALLE MANTEQUILLA 80 G,https://tienda.elflorido.com.mx/productos/9507,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501071300592_1.PNG,18.9,,,,,,,35.0,,18.9,9507
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,75000615,75000615,BLANQUEADOR RENDIDOR CLORALEX 950 ML,BLANQUEADOR RENDIDOR CLORALEX 950 ML,https://tienda.elflorido.com.mx/productos/297,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/75000615_1.PNG,14.9,,,,,,,1227.0,,14.9,297
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501025403485,7501025403485,LIMPIADOR ORIGINAL PINOL 828 ML,LIMPIADOR ORIGINAL PINOL 828 ML,https://tienda.elflorido.com.mx/productos/284,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501025403485_1.PNG,20.9,,,,,,,1422.0,,20.9,284
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,75000608,75000608,BLANQUEADOR RENDIDOR CLORALEX 500 ML,BLANQUEADOR RENDIDOR CLORALEX 500 ML,https://tienda.elflorido.com.mx/productos/1082,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/75000608_1.PNG,7.9,,,,,,,158.0,,7.9,1082
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,17501035910031,17501035910031,LIMPIADOR LAVANDA FABULOSO 1 L,LIMPIADOR LAVANDA FABULOSO 1 L,https://tienda.elflorido.com.mx/productos/604,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/17501035910031_1.png,24.9,,,,,,,235.0,,24.9,604
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,75000592,75000592,BLANQUEADOR RENDIDOR CLORALEX 250 ML,BLANQUEADOR RENDIDOR CLORALEX 250 ML,https://tienda.elflorido.com.mx/productos/1842,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/75000592_1.PNG,4.9,,,,,,,252.0,,4.9,1842
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7503009319430,7503009319430,LIMPIADOR DESENGRASANTE IRLIM 946 ML,LIMPIADOR DESENGRASANTE IRLIM 946 ML,https://tienda.elflorido.com.mx/productos/8881,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7503009319430_1.PNG,32.9,,,,,,,411.0,,32.9,8881
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7503009319386,7503009319386,CLORO IRLIM GALON 3.785 L,CLORO IRLIM GALON 3.785 L,https://tienda.elflorido.com.mx/productos/8880,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7503009319386_1.PNG,32.9,,,,,,,241.0,,32.9,8880
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7506270002643,7506270002643,FIBRA ESPONJA CHICA 2 PZAS,FIBRA ESPONJA CHICA 2 PZAS,https://tienda.elflorido.com.mx/productos/9041,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7506270002643_1.PNG,9.9,,,,,,,467.0,,9.9,9041
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501025403904,7501025403904,LIMPIADOR EUCALIPTO AZUL Y NARANJA PINOL 828 ML,LIMPIADOR EUCALIPTO AZUL Y NARANJA PINOL 828 ML,https://tienda.elflorido.com.mx/productos/6373,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501025403904_1.PNG,20.9,,,,,,,108.0,,20.9,6373
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501025440305,7501025440305,LIMPIADOR BRISA MARINA FLASH 1 L,LIMPIADOR BRISA MARINA FLASH 1 L,https://tienda.elflorido.com.mx/productos/1910,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products/1910.webp,16.9,,,,,,,88.0,,16.9,1910
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501025440640,7501025440640,LIMPIADOR LIMON FLASH 1 L,LIMPIADOR LIMON FLASH 1 L,https://tienda.elflorido.com.mx/productos/5646,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products/5646.webp,16.9,,,,,,,87.0,,16.9,5646
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,764175000493,764175000493,PASTILLA SANITARIA POWER 24 100GR,PASTILLA SANITARIA POWER 24 100GR,https://tienda.elflorido.com.mx/productos/6317,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/764175000493_1.PNG,16.9,,,,,,,152.0,,16.9,6317
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7506270002698,7506270002698,FIBRA METALICA GRANDE PZA,FIBRA METALICA GRANDE PZA,https://tienda.elflorido.com.mx/productos/9044,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7506270002698_1.PNG,19.9,,,,,,,108.0,,19.9,9044
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501023116783,7501023116783,TELA SCOTCH BRITE 3 PZAS,TELA SCOTCH BRITE 3 PZAS,https://tienda.elflorido.com.mx/productos/6126,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501023116783_1.jpg,12.9,,,,,,,109.0,,12.9,6126
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7891040112968,7891040112968,FIBRA METALICA ESPIRAL SCOTCH-BRITE,FIBRA METALICA ESPIRAL SCOTCH-BRITE,https://tienda.elflorido.com.mx/productos/9331,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products/9331.webp,16.9,,,,,,,140.0,,16.9,9331
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,7501058755100,7501058755100,LIMPIADOR ANTIGRASA LIMON GOLD BRASSO 650 ML,LIMPIADOR ANTIGRASA LIMON GOLD BRASSO 650 ML,https://tienda.elflorido.com.mx/productos/8470,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/7501058755100_1.PNG,52.9,,,,,,,121.0,,52.9,8470
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,781159808715,781159808715,DESENGRASANTE MR. YELLOW 976 ML,DESENGRASANTE MR. YELLOW 976 ML,https://tienda.elflorido.com.mx/productos/14799,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/781159808715_1.jpg,39.9,,,,,,,172.0,,39.9,14799
17/11/2022,,ABARROTES NO COMESTIBLES,ARTICULOS DE LIMPIEZA Y ACIDO,,,781159808685,781159808685,LIMPIADOR MULTIUSOS LAVANDA IRLIM 5 L,LIMPIADOR MULTIUSOS LAVANDA IRLIM 5 L,https://tienda.elflorido.com.mx/productos/12287,https://s3-us-west-1.amazonaws.com/florido.app/images/ecommerce/Florido/products_erp/781159808685_1.PNG,69.9,,,,,,,80.0,,69.9,12287
